case_id	kind	urn	slug	description	expected_violation_code	expected_ref	suite
fe01	red	urn:contract-frontend/population	frontend_root_missing_population_definition	Goal/event compile omits the target population or cohort the contract is about.	frontend_root_missing_population_definition	urn:target/root	frontend_semantic_red
fe02	red	urn:contract-frontend/event-anchor	frontend_root_missing_event_anchor	Goal/event compile omits the event kind or state transition the contract measures.	frontend_root_missing_event_anchor	urn:target/root	frontend_semantic_red
fe03	red	urn:contract-frontend/clock	frontend_root_missing_clock_source	Goal/event compile omits which clock defines event time.	frontend_root_missing_clock_source	urn:target/root	frontend_semantic_red
fe04	red	urn:contract-frontend/window	frontend_root_missing_observation_window	Goal/event compile omits the observation window that binds the metric.	frontend_root_missing_observation_window	urn:target/root	frontend_semantic_red
fe05	red	urn:contract-frontend/measurement	frontend_root_missing_success_metric_identity	Goal/event compile omits the identity of the metric being optimized.	frontend_root_missing_success_metric_identity	urn:target/root	frontend_semantic_red
fe06	red	urn:contract-frontend/role-separation	frontend_root_missing_guardrail_identity	Goal/event compile omits a declared guardrail even though the goal text constrains downside.	frontend_root_missing_guardrail_identity	urn:target/root	frontend_semantic_red
fe07	red	urn:contract-frontend/role-separation	frontend_objective_guardrail_collision	Objective and guardrail semantics collapse into the same compiled root role.	frontend_objective_guardrail_collision	urn:contract/root/objective	frontend_semantic_red
fe08	red	urn:contract-frontend/role-separation	frontend_assumption_compiled_as_fact	An assumption is compiled as if it were an asserted fact.	frontend_assumption_compiled_as_fact	urn:contract/root/assumption	frontend_semantic_red
fe09	red	urn:contract-frontend/role-separation	frontend_constraint_compiled_as_objective	A limiting constraint is compiled as an objective to maximize rather than a guardrail to respect.	frontend_constraint_compiled_as_objective	urn:contract/root/constraint	frontend_semantic_red
fe10	red	urn:contract-frontend/quantifier	frontend_quantifier_domain_missing	A quantified claim has no explicit domain over which all/exists is interpreted.	frontend_quantifier_domain_missing	urn:clause/root/objective	frontend_semantic_red
fe11	red	urn:contract-frontend/event-anchor	frontend_event_identity_missing	A compiled metric refers to a count/rate but the underlying event identity is not declared.	frontend_event_identity_missing	urn:clause/leaf/event-rate	frontend_semantic_red
fe12	red	urn:contract-frontend/join	frontend_join_key_missing	A cross-entity contract needs a join key but compile output omits it.	frontend_join_key_missing	urn:clause/leaf/cross-entity	frontend_semantic_red
fe13	red	urn:contract-frontend/aggregation	frontend_aggregation_subject_ambiguous	An aggregate is compiled without a unique subject set, so the counted population is ambiguous.	frontend_aggregation_subject_ambiguous	urn:clause/leaf/event-rate	frontend_semantic_red
fe14	red	urn:contract-frontend/null-policy	frontend_unknown_null_policy_missing	Compile output omits how unknown/null measurements affect contract truth.	frontend_unknown_null_policy_missing	urn:clause/leaf/event-rate	frontend_semantic_red
fe15	red	urn:contract-frontend/world-policy	frontend_closed_world_policy_missing	Compile output omits whether absence of evidence means false, unknown, or not-applicable.	frontend_closed_world_policy_missing	urn:target/root	frontend_semantic_red
fe16	red	urn:contract-frontend/measurement	frontend_measurement_source_missing	Compile output omits the authoritative measurement source for a frontend metric.	frontend_measurement_source_missing	urn:clause/leaf/event-rate	frontend_semantic_red
fe17	red	urn:contract-frontend/compile-trace	frontend_compile_trace_missing	Compiled clauses lack trace back to the originating goal/event spans.	frontend_compile_trace_missing	urn:clause/leaf/event-rate	frontend_semantic_red
fe18	red	urn:contract-frontend/compile-loss	frontend_compile_loss_unmarked	Compile narrows or widens meaning but does not mark the loss or approximation.	frontend_compile_loss_unmarked	urn:clause/leaf/event-rate	frontend_semantic_red
fg01	green	urn:contract-frontend/green/single-population	goal_event_happy_path_single_population_single_event	A single-population single-event contract compiles with explicit population, event, clock, window, and metric identity.			frontend_semantic_green
fg02	green	urn:contract-frontend/green/grouped-rate	goal_event_happy_path_grouped_event_rate	A grouped event-rate contract compiles with domain, grouping key, join key, and unknown/null policy declared.			frontend_semantic_green
fg03	green	urn:contract-frontend/green/role-separation	objective_guardrail_assumption_separated_cleanly	Objective, guardrail, and assumption compile into distinct typed roles with no collisions.			frontend_semantic_green
fg04	green	urn:contract-frontend/green/trace-exact	compile_trace_complete_with_no_loss	Frontend compile emits full source-span trace and no-loss markers for an exact semantic compile.			frontend_semantic_green
fg05	green	urn:contract-frontend/green/trace-approx	compile_trace_complete_with_declared_sound_approximation	Frontend compile emits trace plus declared widening/narrowing markers for an intentional approximation.			frontend_semantic_green
fg06	green	urn:lowerable-set/green/single-instance-exact	exact_leaf_lowerable_to_single_instance_backend	A single-instance measurable leaf lowers exactly to a backend whose capability matrix declares exact support.			lowerable_set_green
fg07	green	urn:lowerable-set/green/dataset-exact	exact_dataset_leaf_lowerable_to_set_backend	A dataset/grouped/windowed leaf lowers exactly to a set-capable backend with explicit grouping and clock binding.			lowerable_set_green
fg08	green	urn:lowerable-set/green/mixed-backend	mixed_backend_target_with_declared_soundness_policy	A mixed-backend target composes exact and approximate clauses under an explicit root soundness policy.			lowerable_set_green
fg09	green	urn:adequacy/green/claim-obligations	adequacy_obligations_attached_for_and_or_claims	Necessity, sufficiency, completeness, assumption-break, and approximation obligations are attached to the relevant claims.			semantic_adequacy_green
fg10	green	urn:runtime/green/external-dependency	external_dependency_runtime_obligations_attached	A time-sensitive external flow declares timeout, retry, duplicate, reorder, and staleness runtime obligations.			runtime_quality_green
fg11	green	urn:quality/green/budgets	quality_budgets_and_authz_bound_to_usecase	Latency, cost, authz, and production trace bindings are attached to a production use case.			runtime_quality_green
fg12	green	urn:system/green/end-to-end	whole_system_goal_event_to_artifact_trace_complete	A WholeSystemTarget closes goal/event source, clause artifacts, exact witness obligation, linked use case, and runtime-quality obligations as one connected trace.			contract_system_green
ls01	red	urn:lowerable-set/quantifier	set_clause_missing_quantifier_kind	A set-semantics clause omits whether it is universal, existential, threshold, or aggregate.	set_clause_missing_quantifier_kind	urn:clause/leaf/set-rate	lowerable_set_red
ls02	red	urn:lowerable-set/domain	set_clause_missing_domain_scope	A set-semantics clause omits the domain over which it quantifies.	set_clause_missing_domain_scope	urn:clause/leaf/set-rate	lowerable_set_red
ls03	red	urn:lowerable-set/grouping	set_clause_missing_grouping_key_when_aggregated	An aggregated clause omits its grouping key even though grouping changes the meaning.	set_clause_missing_grouping_key_when_aggregated	urn:clause/leaf/grouped-rate	lowerable_set_red
ls04	red	urn:lowerable-set/clock-binding	set_clause_missing_clock_binding	A temporal set clause omits which event timestamp drives the window.	set_clause_missing_clock_binding	urn:clause/leaf/windowed-events	lowerable_set_red
ls05	red	urn:lowerable-set/window	set_clause_conflicting_window_semantics	One set clause carries conflicting window semantics for the same identity.	set_clause_conflicting_window_semantics	urn:clause/leaf/windowed-events	lowerable_set_red
ls06	red	urn:lowering/capability	backend_capability_missing	A lowered clause names a backend but no machine-readable capability declaration exists for it.	backend_capability_missing	urn:backend/jsonschema	lowerable_set_red
ls07	red	urn:lowering/capability	backend_capability_mismatch	A clause claims exact lowering to a backend that does not support the required semantics.	backend_capability_mismatch	urn:clause/leaf/grouped-rate	lowerable_set_red
ls08	red	urn:lowering/equivalence	exact_lowering_without_equivalence_basis	A clause claims exact lowering but omits the equivalence basis that justifies exactness.	exact_lowering_without_equivalence_basis	urn:clause/leaf/set-rate	lowerable_set_red
ls09	red	urn:lowering/soundness	approximate_lowering_without_soundness_direction	A non-exact lowering omits whether it is sound_over or sound_under.	approximate_lowering_without_soundness_direction	urn:clause/leaf/approximate	lowerable_set_red
ls10	red	urn:lowering/grammar-leak	backend_specific_grammar_leaked_to_canonical_ir	Canonical IR carries backend-specific syntax instead of backend-neutral semantics.	backend_specific_grammar_leaked_to_canonical_ir	urn:clause/leaf/set-rate	lowerable_set_red
ls11	red	urn:lowering/semantics	single_instance_backend_claims_dataset_semantics	A single-instance backend is used to represent dataset semantics without an explicit decomposition.	single_instance_backend_claims_dataset_semantics	urn:clause/leaf/dataset-claim	lowerable_set_red
ls12	red	urn:lowering/artifact	artifact_cover_missing_for_lowered_clause	A lowered clause has an artifact identity but no artifact cover relation.	artifact_cover_missing_for_lowered_clause	urn:clause/leaf/set-rate	lowerable_set_red
ls13	red	urn:lowering/artifact	artifact_identity_conflict	Two different lowered artifacts claim the same artifact identity with incompatible semantics.	artifact_identity_conflict	urn:artifact/clause/shared-id	lowerable_set_red
ls14	red	urn:lowering/trace	lowering_trace_missing_source_clause	A lowered artifact cannot be traced back to the source clause it implements.	lowering_trace_missing_source_clause	urn:artifact/clause/set-rate	lowerable_set_red
ls15	red	urn:lowering/root-policy	mixed_backend_root_missing_soundness_policy	A mixed-backend target lacks the root-level policy for composing exact and approximate clauses.	mixed_backend_root_missing_soundness_policy	urn:target/root	lowerable_set_red
ls16	red	urn:lowering/backend-identity	lowered_clause_missing_backend_identity	A lowered clause declares a lowering path but omits the backend identity that will carry it.	lowered_clause_missing_backend_identity	urn:clause/leaf/single-instance	lowerable_set_red
ls17	red	urn:lowering/lowering-mode	lowered_clause_missing_lowering_mode	A lowered clause declares a lowering path but omits whether it is exact or approximate.	lowered_clause_missing_lowering_mode	urn:clause/leaf/single-instance	lowerable_set_red
ls18	red	urn:lowering/feature-declaration	lowered_clause_missing_feature_declaration	A lowered clause declares a lowering path but omits the feature or semantic subset it needs from the backend.	lowered_clause_missing_feature_declaration	urn:clause/leaf/single-instance	lowerable_set_red
ls19	red	urn:lowering/artifact-identity-presence	lowered_clause_missing_artifact_identity	A lowered clause declares a lowering path but omits the artifact identity that should carry the emitted contract.	lowered_clause_missing_artifact_identity	urn:clause/leaf/single-instance	lowerable_set_red
rq01	red	urn:runtime/timeout	runtime_timeout_test_missing	A time-sensitive external interaction lacks a timeout obligation.	runtime_timeout_test_missing	urn:usecase/external-sync	runtime_quality_red
rq02	red	urn:runtime/retry	runtime_retry_test_missing	A retried interaction lacks a retry-obligation case.	runtime_retry_test_missing	urn:usecase/external-sync	runtime_quality_red
rq03	red	urn:runtime/duplicate	runtime_duplicate_event_test_missing	An event-driven flow lacks a duplicate-event obligation case.	runtime_duplicate_event_test_missing	urn:usecase/event-ingest	runtime_quality_red
rq04	red	urn:runtime/reorder	runtime_reorder_test_missing	An ordered event flow lacks a reorder-obligation case.	runtime_reorder_test_missing	urn:usecase/event-ingest	runtime_quality_red
rq05	red	urn:runtime/staleness	runtime_staleness_test_missing	A cached or delayed metric lacks a staleness-obligation case.	runtime_staleness_test_missing	urn:usecase/read-model	runtime_quality_red
rq06	red	urn:runtime/replay	runtime_counterexample_replay_missing	A semantic counterexample exists but no replay artifact is bound to it.	runtime_counterexample_replay_missing	urn:counterexample/root	runtime_quality_red
rq07	red	urn:quality/latency	usecase_latency_budget_missing	A production use case lacks a latency budget.	usecase_latency_budget_missing	urn:usecase/primary	runtime_quality_red
rq08	red	urn:quality/cost	usecase_cost_budget_missing	A production use case lacks a cost budget.	usecase_cost_budget_missing	urn:usecase/primary	runtime_quality_red
rq09	red	urn:quality/authz	usecase_authz_contract_missing	A privileged use case lacks an authorization contract.	usecase_authz_contract_missing	urn:usecase/primary	runtime_quality_red
rq10	red	urn:runtime/production-trace	production_trace_binding_missing	A production-near use case lacks a binding to its authoritative trace source.	production_trace_binding_missing	urn:usecase/primary	runtime_quality_red
sa01	red	urn:adequacy/necessity	necessity_claim_missing_ablation_case	A necessity claim has no ablation case showing that removing it should break achievement.	necessity_claim_missing_ablation_case	urn:claim/root/need-revenue	semantic_adequacy_red
sa02	red	urn:adequacy/sufficiency	sufficiency_claim_missing_counterexample_case	A sufficiency claim has no counterexample obligation defining when it should fail.	sufficiency_claim_missing_counterexample_case	urn:claim/leaf/seo-suffices	semantic_adequacy_red
sa03	red	urn:adequacy/completeness	complete_or_branch_missing_gap_scan	An OR branch claims completeness but has no gap-scan obligation for omitted alternatives.	complete_or_branch_missing_gap_scan	urn:branch/channel-options	semantic_adequacy_red
sa04	red	urn:adequacy/assumption	assumption_missing_break_case	An assumption is declared but there is no case describing what breaks when it fails.	assumption_missing_break_case	urn:contract/root/assumption	semantic_adequacy_red
sa05	red	urn:adequacy/dependency	hidden_dependency_missing_declaration	A clause depends on an undeclared external dependency or upstream contract.	hidden_dependency_missing_declaration	urn:clause/leaf/cross-entity	semantic_adequacy_red
sa06	red	urn:adequacy/tradeoff	tradeoff_goal_missing_conflict_clause	Two goals trade off against each other but the conflict clause is not declared.	tradeoff_goal_missing_conflict_clause	urn:target/root	semantic_adequacy_red
sa07	red	urn:adequacy/approximation	approximation_claim_missing_proof_anchor	An approximation is allowed but its proof anchor or rationale is missing.	approximation_claim_missing_proof_anchor	urn:clause/leaf/approximate	semantic_adequacy_red
sa08	red	urn:adequacy/exactness-anchor	exact_only_clause_missing_exactness_anchor	An exact-only clause omits any machine-readable exactness anchor, such as equivalence basis, exactness anchor, or proof target.	exact_only_clause_missing_exactness_anchor	urn:clause/leaf/exact-only	semantic_adequacy_red
tr01	red	urn:system-trace/goal-source	whole_system_target_missing_goal_event_source	A whole-system target claims end-to-end trace closure but omits the goal/event source link.	whole_system_target_missing_goal_event_source	urn:target/system	contract_system_trace_red
tr02	red	urn:system-trace/usecase-link	whole_system_target_missing_usecase_link	A whole-system target claims end-to-end trace closure but omits the link to its runtime use case.	whole_system_target_missing_usecase_link	urn:target/system	contract_system_trace_red
tr03	red	urn:system-trace/witness-obligation	whole_system_exact_clause_missing_witness_obligation	A whole-system target lowers an exact clause to an artifact but omits the clause-level witness obligation.	whole_system_exact_clause_missing_witness_obligation	urn:clause/leaf/system-exact	contract_system_trace_red
tr04	red	urn:system-trace/linked-usecase-achievement	whole_system_target_blocked_by_linked_usecase_violation	A whole-system target must not achieve when its linked use case still fails a runtime obligation.	runtime_timeout_test_missing	urn:usecase/system	contract_system_trace_red
tr05	red	urn:system-trace/artifact-identity	whole_system_lowered_clause_missing_artifact_identity	A whole-system target claims artifact trace closure but one lowered clause has no artifact identity.	whole_system_lowered_clause_missing_artifact_identity	urn:clause/leaf/system-exact	contract_system_trace_red
